keyword,_sensitivewords,_popularwords,list_greatfire_wikipedia,list_blockedweibo,list_cdt,list_line,list_skype,list_sina,list_gfw,list_google,list_sinashow,list_163,list_qq,list_condop,list_blogprovider,machine_translation,human_translation,notes,themeevents,thememisc,themepeople,themepolitical,themesocial,themetechnology,thcpcnationalcongress2002,thcpcnationalcongress2012,olympics,boxilaiscandal,business,cpcmembergovofficial,censorshipcensorshipsurveillance,censorshipcircumvention,charter08,china,chinasnationalday,chinesedoomsdaycultarrests,chinesesoftwarewebsites,communistpartyofchinacpccriticis,communistpartyofchinacpcgeneralc,companyname,contextunclear,corruptionscandals,democracychinesedemocracymovemen,detention,diaoyusenkakuislandsprotests,dissidentactivist,domesticrelationshongkong,domesticrelationstaiwan,ethnicgroupsgeneralethnic,ethnicgroupshui,ethnicgroupstibetan,ethnicgroupsuyghur,ferraricrashmarch2012,forceddemolitions,gambling,generictechnologyterms,googleleavingchina,government,humanrightsgeneralhumanrights,humanrightsorganizations,illicitgoodsandservices,innermongoliaprotests,internationalrelationssinojapane,internationalrelationsunitedstat,jasminerevolution,jiangzemindeathrumour,law,lottery,mediachineseindependentoppositio,mediachineseprogovernmentmedia,mediageneralmediaterms,mediainternationalmedia,nationalsecuritygeneralnationals,nationalsecuritymilitarypolice,occupymovement,oilpriceprotests,onlinegame,onlinenovels,personidentitycontextunclear,petitioningadministrativesystem,politicalpartiesnoncpc,protest,prurientinterests,relativesassociatesofgovernmento,religionchristianpracticeinchina,religionfalungong,religiongeneralreligion,sarsandotherdiseasesaidsavianflu,sichuanearthquake,sina,spyware,taintedmilkscandal,tiananmensquarejune41989,tibetanselfimmolations,urls,urumqiriots,victimsofcrimeviolentcriminals,wenzhoutraincrash,westernwebsitessocialmedia,agg_Sina_Skype_lists,agg_cattags,pinyin_tones,pinyin_notones,_theme,_category,CDT_translation,CDT_englishpost,CDT_combination,num_lists_appears_on,line_category,line_translation,line_notes,top_aug1_2013_ZHWikipedia_views,top_aug1_2013_ZHWikipedia,top1000_ZHWikipedia_views,top1000_ZHWikipedia,protected_ZHWikipedia,keyword_length,gfw_category
"!",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"!","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",13,1,,,,1,""
"""薄熙来倒了，下一个是周永康""",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Bo Xilai down, the next one is Zhou Yongkang","","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only","Bo Xilai Scandal;CPC member / Gov official;Zhou Yongkang","bó xī lái dǎo le ，xià yīgè shì zhōu Yǒngkāng ","bo xi lai dao le ,xia yige shi zhou Yongkang ","events","boxilaiscandal","","",,1,"","","",,,,,,15,""
"""周永康兵变和警变""",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Zhou Yongkang police mutiny and change","Zhou Yongkang military coup","This is referring to reports/theories/rumous that Zhou Yongkang, a former minister of public security, has ambitions to gain control of China's military and police powers, and launched a military coup. For more information, please see: http://e",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only","National Security;Zhou Yongkang","zhōu Yǒngkāng bīngbiàn hé jǐng biàn ","zhou Yongkang bingbian he jing bian ","political","nationalsecuritymilitarypolice","","",,1,"","","",,,,,,10,""
""銀行卡復制器",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Bank Card Duplicator","Bank card replicating machine","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only","Illicit Goods and Services","yínháng qiǎ fù zhì qì ","yinhang qia fu zhi qi ","social","illicitgoodsandservices","","",,1,"","","",,,,,,7,""
"#8964",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"# 8964","","Reference to the Tiananmen Square crackdown on June 4, 1989.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Sina UC List 4;Sina UC List 5","Tiananmen Square (June 4 1989)","#8964","#8964","events","tiananmensquarejune41989","","",,1,"","","",,,,,,5,""
"#tiananmen",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"# tiananmen","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Sina UC List 4;Sina UC List 5","Tiananmen Square (June 4 1989)","#tiananmen","#tiananmen","events","tiananmensquarejune41989","","",,1,"","","",,,,,,10,""
"%49%6d%41%67%45%2e%30%48%41%70%70%79%2e%63%6e",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"% 49% 6d% 41% 67% 45% 2e% 30% 48% 41% 70% 70% 79% 2e% 63% 6e","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 3;Sina UC List 4","URLs","%49%6d%41%67%45%2e%30%48%41%70%70%79%2e%63%6e","%49%6d%41%67%45%2e%30%48%41%70%70%79%2e%63%6e","technology","urls","","",,1,"","","",,,,,,45,""
"%69%6d%61%67%65%2e%30%68%61%70%70%79%2e%63%6e",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"% 69% 6d% 61% 67% 65% 2e% 30% 68% 61% 70% 70% 79% 2e% 63% 6e","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 3;Sina UC List 4","URLs","%69%6d%61%67%65%2e%30%68%61%70%70%79%2e%63%6e","%69%6d%61%67%65%2e%30%68%61%70%70%79%2e%63%6e","technology","urls","","",,1,"","","",,,,,,45,""
"&",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"&","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",23,1,,,,1,""
"'",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"'","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",78,1,22388,1,,1,""
