keyword,list_greatfire_wikipedia,list_blockedweibo,list_cdt,list_line,list_skype,list_sina,list_gfw,machine_translation,human_translation,notes,agg_cattags,pinyin_tones,pinyin_notones,_theme,_category,CDT_translation,CDT_englishpost,CDT_combination,num_lists_appears_on,line_category,line_translation,line_notes,keyword_length,gfw_category
"""薄熙来倒了，下一个是周永康""",0,0,0,0,1,0,0,"Bo Xilai down, the next one is Zhou Yongkang","","","Bo Xilai Scandal;CPC member / Gov official;Zhou Yongkang","bó xī lái dǎo le ，xià yīgè shì zhōu Yǒngkāng ","bo xi lai dao le ,xia yige shi zhou Yongkang ","events","boxilaiscandal","","",,1,"","","",15,""
"""周永康兵变和警变""",0,0,0,0,1,0,0,"Zhou Yongkang police mutiny and change","Zhou Yongkang military coup","This is referring to reports/theories/rumous that Zhou Yongkang, a former minister of public security, has ambitions to gain control of China's military and police powers, and launched a military coup. For more information, please see: http://e","National Security;Zhou Yongkang","zhōu Yǒngkāng bīngbiàn hé jǐng biàn ","zhou Yongkang bingbian he jing bian ","political","nationalsecuritymilitarypolice","","",,1,"","","",10,""
""銀行卡復制器",0,0,0,0,1,0,0,"Bank Card Duplicator","Bank card replicating machine","","Illicit Goods and Services","yínháng qiǎ fù zhì qì ","yinhang qia fu zhi qi ","social","illicitgoodsandservices","","",,1,"","","",7,""
"#8964",0,0,0,0,0,1,0,"# 8964","","Reference to the Tiananmen Square crackdown on June 4, 1989.","Tiananmen Square (June 4 1989)","#8964","#8964","events","tiananmensquarejune41989","","",,1,"","","",5,""
"#tiananmen",0,0,0,0,0,1,0,"# tiananmen","","","Tiananmen Square (June 4 1989)","#tiananmen","#tiananmen","events","tiananmensquarejune41989","","",,1,"","","",10,""
"%49%6d%41%67%45%2e%30%48%41%70%70%79%2e%63%6e",0,0,0,0,0,1,0,"% 49% 6d% 41% 67% 45% 2e% 30% 48% 41% 70% 70% 79% 2e% 63% 6e","","","URLs","%49%6d%41%67%45%2e%30%48%41%70%70%79%2e%63%6e","%49%6d%41%67%45%2e%30%48%41%70%70%79%2e%63%6e","technology","urls","","",,1,"","","",45,""
"%69%6d%61%67%65%2e%30%68%61%70%70%79%2e%63%6e",0,0,0,0,0,1,0,"% 69% 6d% 61% 67% 65% 2e% 30% 68% 61% 70% 70% 79% 2e% 63% 6e","","","URLs","%69%6d%61%67%65%2e%30%68%61%70%70%79%2e%63%6e","%69%6d%61%67%65%2e%30%68%61%70%70%79%2e%63%6e","technology","urls","","",,1,"","","",45,""
"*(^$",0,0,0,0,0,1,0,"* (^ $","8964","Possible reference to June 4 1984","Tiananmen Square (June 4 1989)","*(^$","*(^$","events","tiananmensquarejune41989","","",,1,"","","",4,""
"-xu.com",0,0,0,0,0,1,0,"-xu.com","","","URLs","-xu.com","-xu.com","technology","urls","","",,1,"","","",7,""
"..\..\",0,0,0,0,0,1,0,".. \ .. \","","","Context unclear","..\..\","..\..\","misc","contextunclear","","",,1,"","","",6,""
".CN../",0,0,0,0,0,1,0,". CN .. /","","","URLs",".CN../",".CN../","technology","urls","","",,1,"","","",6,""
".COM../",0,0,0,0,0,1,0,". COM .. /","","","URLs",".COM../",".COM../","technology","urls","","",,1,"","","",7,""
".NET../",0,0,0,0,0,1,0,". NET .. /","","","URLs",".NET../",".NET../","technology","urls","","",,1,"","","",7,""
".ORG../",0,0,0,0,0,1,0,". ORG .. /","","","URLs",".ORG../",".ORG../","technology","urls","","",,1,"","","",7,""
".XX../",0,0,0,0,0,1,0,". XX .. /","","","URLs",".XX../",".XX../","technology","urls","","",,1,"","","",6,""
".cn../",0,0,0,0,0,1,0,". cn .. /","","","URLs",".cn../",".cn../","technology","urls","","",,1,"","","",6,""
".com../",0,0,0,0,0,1,0,". com .. /","","","URLs",".com../",".com../","technology","urls","","",,1,"","","",7,""
".net../",0,0,0,0,0,1,0,". net .. /","","","URLs",".net../",".net../","technology","urls","","",,1,"","","",7,""
".org../",0,0,0,0,0,1,0,". org .. /","","","URLs",".org../",".org../","technology","urls","","",,1,"","","",7,""
".xx../",0,0,0,0,0,1,0,". xx .. /","","","URLs",".xx../",".xx../","technology","urls","","",,1,"","","",6,""
"/2.gy/",0,0,0,0,0,1,0,"/ 2.gy /","","","URLs","/2.gy/","/2.gy/","technology","urls","","",,1,"","","",6,""
"028mmsm.com",0,0,0,0,0,1,0,"028mmsm.com","","","URLs","028mmsm.com","028mmsm.com","technology","urls","","",,1,"","","",11,""
"08xianzhang",0,0,0,0,0,1,0,"08xianzhang","Charter 08","A manifesto signed by over 350 intellectuals, activists, and former party officials in 2008. It was modeled after the anti-soviet Charter 77 in Czechoslovakia in 1977. Liu Xiaobo was a major author and signatory, and the 08 charter was a major ","Charter 08","08xianzhang","08xianzhang","political","charter08","","",,1,"","","",11,""
"08县长",0,0,1,0,0,1,0,"08 county","Homonym for Charter 08","A manifesto signed by over 350 intellectuals, activists, and former party officials in 2008. It was modeled after the anti-soviet Charter 77 in Czechoslovakia in 1977. Liu Xiaobo was a major author and signatory, and the 08 charter was a major ","Charter 08","08xiànzhǎng ","08xianzhang ","political","charter08","08 county head (sounds like Charter 08)","",0,2,"","","",4,""
"08宪章",1,0,1,1,1,1,1,"Charter 08","Charter 08","A manifesto signed by over 350 intellectuals, activists, and former party officials in 2008. It was modeled after the anti-soviet Charter 77 in Czechoslovakia in 1977. Liu Xiaobo was a major author and signatory, and the 08 charter was a major ","Charter 08","08xiànzhāng ","08xianzhang ","political","charter08","Charter 08","",0,6,"Charter 08","","document advocating political reform in ChIna",4,"Event-2008"
"1+3",0,0,0,0,1,0,0,"1 +3","","Unclear of context.","Tiananmen Square (June 4 1989)","1+3","1+3","events","tiananmensquarejune41989","","",,1,"","","",3,""
"1/9/8/9",0,0,0,0,1,0,0,"1/9/8/9","","Probably a reference to June 4 1989","Tiananmen Square (June 4 1989)","1/9/8/9","1/9/8/9","events","tiananmensquarejune41989","","",,1,"","","",7,""
"10+10TH FEB",0,0,0,0,1,0,0,"10 +10 TH FEB","February 20 (2011)"," that called for pro-democracy protests around major cities in China on February 20, 2011. For more information, please see: http://en.wikipedia.org/wiki/2011_Chinese_pro-democracy_protests.","Jasmine Revolution","10+10TH FEB","10+10TH FEB","events","jasminerevolution","","",,1,"","","",11,""
"10000",0,0,0,0,0,1,0,"10000","","Unclear of context.","Context unclear","10000","10000","misc","contextunclear","","",,1,"","","",5,""
