keyword,CDT,CDT-translation,CDT-English-Post,,,,,,,
莎车＋爆炸,1,,,,,,,,,
喀什＋爆炸,1,,,,,,,,,
新疆＋爆炸,1,,,,,,,,,
莎车＋出大事,1,,,,,,,,,
喀什＋出大事,1,,,,,,,,,
新疆＋出大事,1,,,,,,,,,
莎车＋通信管制,1,,,,,,,,,
喀什＋通信管制,1,,,,,,,,,
新疆＋通信管制,1,,,,,,,,,
G将军＋出逃,1,,,,,,,,,
郭将军＋出逃,1,,,,,,,,,
郭＋男扮女装,1,,,,,,,,,
郭正刚,1,,,,,,,,,
克拉娃,1,,,,,,,,,
习王,1,,,,,,,,,
zheng变,1,,,,,,,,,
阿里巴巴＋红二代,1,Alibaba + red second generation,http://wp.me/p2pAV0-JDu,,,,,,,
阿里巴巴＋江（志成）,1,Alibaba + (Alvin) Jiang,http://wp.me/p2pAV0-JDu,,,,,,,
博裕,1,Boyu (Capital),http://wp.me/p2pAV0-JDu,,,,,,,
新天域,1,New Horizon (Capital),http://wp.me/p2pAV0-JDu,,,,,,,
某教,1,certain religion,http://wp.me/p2pAV0-JDu,,,,,,,
共妻,1,hetaerism (wife-sharing),http://wp.me/p2pAV0-JDu,,,,,,,
方政,1,Fang Zheng,http://wp.me/p2pAV0-JDu,,,,,,,
令狐剑,1,Ling Hujian,http://wp.me/p2pAV0-JAY,,,,,,,
令计划弟弟,1,Ling Jihua's younger brother,http://wp.me/p2pAV0-JAY,,,,,,,
新四人帮,1,new Gang of Four,http://wp.me/p2pAV0-JAY,,,,,,,
令JH,1,Ling JH,http://wp.me/p2pAV0-JAY,,,,,,,
女高音＋军费,1,soprano+military funds,http://wp.me/p2pAV0-JAY,,,,,,,
宋＋军纪委,1,Song + Military Discipline and Inspection Committee,http://wp.me/p2pAV0-JAY,,,,,,,
宋祖玉,1,Song Zuyu,http://wp.me/p2pAV0-JAY,,,,,,,
袁纯清＋自杀,1,Yuan Chunqing + suicide,http://wp.me/p2pAV0-JAY,,,,,,,
谭晶,1,Tan Jing,http://wp.me/p2pAV0-JAY,,,,,,,
海门＋抗议,1,Haimen + protest,http://wp.me/p2pAV0-Jz3,,,,,,,
海门＋游行,1,Haimen + march,http://wp.me/p2pAV0-Jz3,,,,,,,
海门＋电厂,1,Haimen + power plant,http://wp.me/p2pAV0-Jz3,,,,,,,
（曾）庆红＋被抓,1,(Zeng) Qinghong + be caught,,,,,,,,
曾庆淮,1,Zeng Qinghuai,http://wp.me/p2pAV0-Jz3,,,,,,,
军中第一美女,1,military first beauty,,,,,,,,
张澜澜,1,Zhang Lanlan,http://wp.me/p2pAV0-Jz3,,,,,,,
贾庆L,1,Jia QingL,http://wp.me/p2pAV0-Jz3,,,,,,,
梅宁华,1,Mei Ninghua,http://wp.me/p2pAV0-Jz3,,,,,,,
大老虎＋出事,1,big tiger + something happened,http://wp.me/p2pAV0-Jz3,,,,,,,
习阿斗,1,Xi Adou,http://wp.me/p2pAV0-Jz3,,,,,,,
习二,1,Xi the Second,http://wp.me/p2pAV0-Jz3,,,,,,,
星空大师,1,Master of the Starry Skies,,,,,,,,
（宋）祖英＋出事,1,(Song) Zuying + something happened,http://wp.me/p2pAV0-Jyl,,,,,,,
（宋）祖英＋调查,1,(Song) Zuying + investigation,http://wp.me/p2pAV0-Jyl,,,,,,,
宋祖英＋军纪委,1,Song Zuying + military discipline inspection commission,http://wp.me/p2pAV0-Jyl,,,,,,,
宋祖英＋军费,1,Song Zuying + military funds,http://wp.me/p2pAV0-Jyl,,,,,,,
宋祖英＋挪用,1,Song Zuying + embezzle,http://wp.me/p2pAV0-Jyl,,,,,,,
宋祖英＋后台,1,Song Zuying + backstage,http://wp.me/p2pAV0-Jyl,,,,,,,
宋祖英＋蛤蟆,1,Song Zuying + toad,http://wp.me/p2pAV0-Jyl,,,,,,,
国母（复测）,1,first lady (retested),http://wp.me/p2pAV0-Jyl,,,,,,,
老老虎（复测）,1,old tiger (retested),http://wp.me/p2pAV0-Jyl,,,,,,,
芮成钢＋被查,1,Rui Chenggang + be investigated,http://wp.me/p2pAV0-Jyl,,,,,,,
刘乐飞,1,Liu Lefei,http://wp.me/p2pAV0-Jyl,,,,,,,
38军＋贾,1,38 military [divisions] + Jia,http://wp.me/p2pAV0-Jyl,,,,,,,
500余人＋贾,1,over 500 people + Jia,http://wp.me/p2pAV0-Jyl,,,,,,,
令计划＋大秘,1,Ling Jihua + big secret,http://wp.me/p2pAV0-Jyl,,,,,,,
郭伯雄,1,Guo Boxiong,http://wp.me/p2pAV0-Jyl,,,,,,,
郭正钢,1,Guo Zhenggang,http://wp.me/p2pAV0-Jyl,,,,,,,
港人＋上街,1,Hong Kongers + take to the streets,http://wp.me/p2pAV0-Jnb,,,,,,,
李柱铭,1,Martin Lee,http://wp.me/p2pAV0-Jnb,,,,,,,
Citizens+Movement,1,Citizens+Movement,http://wp.me/p2pAV0-Jnb,,,,,,,
亲属在美加,1,relatives in the US and Canada,http://wp.me/p2pAV0-Jnb,,,,,,,
苗德顺,1,Miao Deshun,http://wp.me/p2pAV0-Jnb,,,,,,,
匕首,1,dagger,http://wp.me/p2pAV0-Jnb,,,,,,,
重庆＋不会忘记,1,Chongqing + will not forget,http://wp.me/p2pAV0-Jnb,,,,,,,
令计划＋大内总管,1,imperial palace housekeeper,http://wp.me/p2pAV0-Jnb,,,,,,,
令计划＋车祸,1,Ling Jihua + car accident,http://wp.me/p2pAV0-Jnb,,,,,,,
令计划＋情妇,1,Ling Jihua + mistress,http://wp.me/p2pAV0-Jnb,,,,,,,
毛＋清算,1,Mao + settle accounts,http://wp.me/p2pAV0-Jnb,,,,,,,
赤化,1,become communist,http://wp.me/p2pAV0-Jls,,,,,,,
周锋锁,1,Zhou Fengsuo,http://wp.me/p2pAV0-Jls,,,,,,,
周封锁,1,Zhou Fengsuo,http://wp.me/p2pAV0-Jls,,,,,,,
李卓人,1,Lee Cheuk-yan,http://wp.me/p2pAV0-Jls,,,,,,,
令计划＋贪腐,1,Ling Jihua+corruption,http://wp.me/p2pAV0-Jls,,,,,,,
令谷,1,Ling Gu,http://wp.me/p2pAV0-Jls,,,,,,,
令计（划）＋苏荣,1,Ling Ji(hua)+Su Rong,http://wp.me/p2pAV0-Jls,,,,,,,
苏荣＋江泽（民）,1,Su Rong+Jiang Ze(min),http://wp.me/p2pAV0-Jls,,,,,,,
苏荣＋（曾）庆红,1,Su Rong+(Zeng) Qinghong,http://wp.me/p2pAV0-Jls,,,,,,,
刘迎霞＋吉林帮,1,Liu Yingxia+Jilin gang,http://wp.me/p2pAV0-Jls,,,,,,,
曾庆红＋监视居住,1,Zeng Qinghong+reseidential surveillance,http://wp.me/p2pAV0-Jls,,,,,,,
（曾）庆红＋豪宅,1,(Zeng) Qinghong+mansion,http://wp.me/p2pAV0-Jls,,,,,,,
贺锦雷,1,He Jinlei,http://wp.me/p2pAV0-Jls,,,,,,,
李小鹏,1,Li Xiaopeng,http://wp.me/p2pAV0-Jls,,,,,,,
伪基站,1,fake base station,http://wp.me/p2pAV0-Jls,,,,,,,
群发＋短信＋设备,1,crowd sent+text message+equipment,http://wp.me/p2pAV0-Jls,,,,,,,
非京籍＋抗议,1,non-Beijing hukou+protest,http://wp.me/p2pAV0-Jls,,,,,,,
血债帮,1,blood debt gang,http://wp.me/p2pAV0-Jls,,,,,,,
89+(任意字符),1,89+(any keyword),https://chinadigitaltimes.net/2014/06/sensitive-words-june-4th/,,,,,,,
廿五周年,1,twenty-fifth anniversary,https://chinadigitaltimes.net/2014/06/sensitive-words-june-4th/,,,,,,,
致敬,1,pay respects,https://chinadigitaltimes.net/2014/06/sensitive-words-june-4th/,,,,,,,
6+4,1,6+4,https://chinadigitaltimes.net/2014/06/sensitive-words-june-4th/,,,,,,,
8的平方,1,square of 8,https://chinadigitaltimes.net/2014/06/sensitive-words-june-4th/,,,,,,,
tank man,1,tank man,https://chinadigitaltimes.net/2014/06/sensitive-words-june-4th/,,,,,,,
占占点,1,[tanks crushing person],https://chinadigitaltimes.net/2014/06/sensitive-words-june-4th/,,,,,,,
占点占,1,[tanks crushing person],https://chinadigitaltimes.net/2014/06/sensitive-words-june-4th/,,,,,,,
邓屠夫,1,Deng [Xiaoping] The Butcher,https://chinadigitaltimes.net/2014/06/sensitive-words-june-4th/,,,,,,,
解放军＋中越边境集结,1,PLA+mass at China-Vietnam border,http://wp.me/p2pAV0-J53,,,,,,,
25年,1,25 years,http://wp.me/p2pAV0-J53,,,,,,,
25years,1,25years,http://wp.me/p2pAV0-J53,,,,,,,
二十五年,1,twenty-five years,http://wp.me/p2pAV0-J53,,,,,,,
五月三十五,1,May Thirty-fifth,http://wp.me/p2pAV0-J53,,,,,,,
广场,1,square,http://wp.me/p2pAV0-J53,,,,,,,
悼念,1,mourn,http://wp.me/p2pAV0-J53,,,,,,,
春夏之交,1,when spring becomes summer,http://wp.me/p2pAV0-J53,,,,,,,
这一天,1,this day,http://wp.me/p2pAV0-J53,,,,,,,
Jonathan Mirsky＋网站,1,Jonathan Mirsky+website,http://wp.me/p2pAV0-J53,,,,,,,
红色恐怖,1,Red Terror,http://wp.me/p2pAV0-J53,,,,,,,
伊斯兰＋恐怖,1,Islam+terror,http://wp.me/p2pAV0-J53,,,,,,,
公园北街＋乌市,1,North Gongyuan Street,http://wp.me/p2pAV0-J53,,,,,,,
共产党＋腐败,1,Communist Party+corrupt,http://wp.me/p2pAV0-J53,,,,,,,
支持＋快播,1,support+QVOD,http://wp.me/p2pAV0-J53,,,,,,,
青年节,1,Youth Day,http://wp.me/p2pAV0-J53,,,,,,,
Facebook+办事处,1,Facebook+office,http://wp.me/p2pAV0-J53,,,,,,,
Facebook+办公室,1,Facebook+office,http://wp.me/p2pAV0-J53,,,,,,,
25周年,1,25th anniversary,http://wp.me/p2pAV0-J27,,,,,,,
64+屠杀,1,64+massacre,http://wp.me/p2pAV0-J27,,,,,,,
64+开枪,1,64+open fire,http://wp.me/p2pAV0-J27,,,,,,,
89+动乱,1,89+unrest,http://wp.me/p2pAV0-J27,,,,,,,
四＋开枪,1,four+open fire,http://wp.me/p2pAV0-J27,,,,,,,
天an门,1,TianANmen,http://wp.me/p2pAV0-J27,,,,,,,
平反,1,redress,http://wp.me/p2pAV0-J27,,,,,,,
天下围城,1,the world besieges the fortress,http://wp.me/p2pAV0-J27,,,,,,,
全民倒共,1,all the people topple communism,http://wp.me/p2pAV0-J27,,,,,,,
打砸烧,1,"beat, smash, and burn",http://wp.me/p2pAV0-J27,,,,,,,
装甲车＋直升机,1,armored car+helicopter,http://wp.me/p2pAV0-J27,,,,,,,
中共政治局,1,Chinese Communist [Party] Politburo,http://wp.me/p2pAV0-J27,,,,,,,
南周事件,1,Southern Weekly incident,http://wp.me/p2pAV0-J27,,,,,,,
薄熙来＋器官,1,Bo Xilai+organs,http://wp.me/p2pAV0-J27,,,,,,,
H漫,1,H comics (hentai),http://wp.me/p2pAV0-J27,,,,,,,
凌辱,1,assault [a woman],http://wp.me/p2pAV0-J27,,,,,,,
puzhiqiang,1,puzhiqiang,http://wp.me/p2pAV0-IUW,,,,,,,
PZQ,1,PZQ,http://wp.me/p2pAV0-IUW,,,,,,,
习＋特勒,1,"Xi+tele [sounds like ""Hitler""]",http://wp.me/p2pAV0-IUW,,,,,,,
（习近平）讲话精神研究中心,1,(Xi Jinping) speech essence research center,http://wp.me/p2pAV0-IUW,,,,,,,
中国教父＋习（近平）,1,Chinese Godfather Xi (Jinping),http://wp.me/p2pAV0-IUW,,,,,,,
xijin(ping),1,xijin(ping),http://wp.me/p2pAV0-IUW,,,,,,,
潘涂＋村民,1,Pantu+villagers,http://wp.me/p2pAV0-IUW,,,,,,,
中泰＋垃圾焚烧,1,Zhongtai+garbage incineration,http://wp.me/p2pAV0-IUW,,,,,,,
常委＋贪腐,1,[Politburo] standing committee member+corrupt,http://wp.me/p2pAV0-IUW,,,,,,,
