keyword,gfw_category,list_gfw,gfw_length
新公民运动,Event-2014,1,5
至宪党,Event-2013,1,3
中国至宪党,Event-2013,1,5
七不讲,Event-2013,1,3
南周事件,Event-2013,1,4
2013年南方周末新年献词被删改事,Event-2013,1,17
2013年《南方周末》新年献词,Event-2013,1,15
2013年《南方周末》新年特刊被删,Event-2013,1,17
重庆万盛事件,Event-2012,1,6
烏坎事件,Event-2011,1,4
2011年陸豐烏坎事件,Event-2011,1,11
五毛蛋,Event-2011,1,3
大连反对PX项目游行,Event-2011,1,10
2011年温州动车追尾事件,Event-2011,1,13
2011年杭深线动车组列车追尾事故,Event-2011,1,17
内蒙古抗议,Event-2011,1,5
2011年内蒙古抗议示威事件,Event-2011,1,14
广州市新塘事件,Event-2011,1,7
茉莉花革命,Event-2011,1,5
茉莉花事件,Event-2011,1,5
茉莉花行动,Event-2011,1,5
中国茉莉花革命,Event-2011,1,7
中國茉莉花革命,Event-2011,1,7
中國茉莉花活動,Event-2011,1,7
Jasmine_Revolution_in_China,Event-2011,1,27
2010-2011年突尼,Event-2010,1,12
WikiLeaks,Event-2010,1,9
维基解密泄露美国外交电报事件,Event-2010,1,14
维基解密泄露美国外交电报事,Event-2010,1,13
WikiLeaks泄露美国外交电报事件,Event-2010,1,19
2010年中国反日示威活动,Event-2010,1,13
诺贝尔和平奖,Event-2010,1,6
2010年诺贝尔和平奖,Event-2010,1,11
颱風凡亞比,Event-2010,1,5
谷歌退出中国事件,Event-2010,1,8
旭日玩具厂群体斗殴事件,Event-2009,1,11
威视腐败案,Event-2009,1,5
汶川大地震死难学生调查活动,Event-2008,1,13
08宪章,Event-2008,1,4
08憲章,Event-2008,1,4
〇八宪章,Event-2008,1,4
零八宪章,Event-2008,1,4
零八憲章,Event-2008,1,4
Charter_08,Event-2008,1,10
杨佳袭警案,Event-2008,1,5
蚁力神,Event-2007,1,3
蟻力神,Event-2007,1,3
临沂计划生育事件,Event-2005,1,8
北京之春,Event-1977,1,4
西单墙,Event-1977,1,3
西单民主墙,Event-1977,1,5
西單民主牆,Event-1977,1,5
民主牆運動,Event-1977,1,5
布拉格之春,Event-1968,1,5
三年自然灾害,Event-1959,1,6
伊宁事变,Event-1944,1,4
伊寧事變,Event-1944,1,4
元祐更化,Event-1085,1,4
推特,Media,1,2
Twitter,Media,1,7
博讯,Media,1,2
多维,Media,1,2
多維,Media,1,2
牛博网,Media,1,3
美国之音,Media,1,4
美國之音,Media,1,4
彭博公司,Media,1,4
彭博新聞社,Media,1,5
中国数字时代,Media,1,6
新世纪出版社,Media,1,6
纽约时报,Newspaper,1,4
人民日报,Newspaper,1,4
亚洲周刊,Newspaper,1,4
亞洲週刊,Newspaper,1,4
阳光卫视,Media,1,4
阳光时务,Magazine,1,4
陽光時務,Magazine,1,4
阳光时务周刊,Magazine,1,6
南方都市报,Newspaper,1,5
开放杂志,Magazine,1,4
開放雜誌,Magazine,1,4
世界经济导报,Newspaper,1,6
世界經濟導報,Newspaper,1,6
华夏文摘,Magazine,1,4
華夏文摘,Magazine,1,4
自由中国论坛,Magazine,1,6
自由中國論壇,Magazine,1,6
大参考_(网络杂志),Magazine,1,10
河殇,Publication,1,2
河殤,Publication,1,2
Hu_Jintao_Biography,Publication,1,19
晚年周恩来,Publication,1,5
毛泽东私人医生回忆录,Publication,1,10
毛澤東：鮮為人知的故事,Publication,1,11
激流中国,Publication,1,4
维权诗集,Publication,1,4
改革历程,Publication,1,4
改革歷程,Publication,1,4
大江大海一九四九,Publication,1,8
谁是新中国,Publication,1,5
陈一谘回忆录,Publication,1,6
金盾,Censorship,1,2
金盾工程,Censorship,1,4
绿坝娘,Censorship,1,3
中国网络软件过滤关键字列表,Censorship,1,13
中华人民共和国被封锁网站列表,Censorship,1,14
中华人民共和国被禁出版物列表,Censorship,1,14
TOR,Censorship-Circumvention,1,3
无界,Censorship-Circumvention,1,2
自由門,Censorship-Circumvention,1,3
世界通,Censorship-Circumvention,1,3
花园网,Censorship-Circumvention,1,3
花園網,Censorship-Circumvention,1,3
西厢计划,Censorship-Circumvention,1,4
破网,Censorship-Circumvention,1,2
突破封锁软件,Censorship-Circumvention,1,6
突破网络审查,Censorship-Circumvention,1,6
突破網絡審查,Censorship-Circumvention,1,6
无国界记者,Organization,1,5
無國界記者,Organization,1,5
泛蓝联盟,Organization,1,4
泛藍聯盟,Organization,1,4
中国民主党,Organization,1,5
中國民主黨,Organization,1,5
独立中文笔会,Organization,1,6
獨立中文筆會,Organization,1,6
中国家庭教会,Organization,1,6
中国劳工观察,Organization,1,6
中國勞工觀察,Organization,1,6
中文网志年会,Organization,1,6
中国天网人权事务中心,Organization,1,10
六四天网,Organization,1,4
六四天網,Organization,1,4
公盟法律研究中心,Organization,1,8
新闻自由,Political,1,4
和平演变,Political,1,4
公共知识分子,Political,1,6
敏感人士,Political,1,4
秦城监狱,Political,1,4
文字狱,Political,1,3
文字獄,Political,1,3
绝食,Political,1,2
絕食,Political,1,2
中国人权,Political,1,4
中國人權,Political,1,4
中国民主运动,Political,1,6
中國民主運動,Political,1,6
中国持不同政见者列表,Political,1,10
中國持不同政見者列表,Political,1,10
中國持不同政見者名單,Political,1,10
中華人民共和國持不同政見者列,Political,1,14
中國政治異見人士,Political,1,8
中國共產黨,Government,1,5
中共五大书记,Government,1,6
共匪,Government,1,2
團派,Government,1,2
团中央,Government,1,3
共青团中央,Government,1,5
中国共产主义青年团,Government,1,9
中國共產主義青年團歷任領導人,Government,1,14
中国新民主主义青年团,Government,1,10
胡温体制,Government,1,4
社会主义初级阶段,Government,1,8
一个中心,Government,1,4
太子党,Government,1,3
Princeling,Government,1,10
Crown_Prince_Party,Government,1,18
网络评论员,Government,1,5
中共中央宣傳部,Government,1,7
妇联,Government,1,2
中华全国妇女联合会,Government,1,9
中华全国归国华侨联合会,Government,1,11
中国法学会,Government,1,5
中央警卫局,Government,1,5
中央警衛局,Government,1,5
中央警卫团,Government,1,5
8341部队,Government,1,6
国家国防动员委员会,Government,1,9
中国人民解放军总后勤部,Government,1,11
中华人民共和国贪污案件,Government,1,11
中華人民共和國貪污案件,Government,1,11
2012年中华人民共和国腐败案件,Government,1,16
中华人民共和国宪法,Government,1,9
艾未未,People-Dissident,1,3
包遵信,People-Dissident,1,3
北岛_(诗人),People-Dissident,1,7
陈光诚,People-Dissident,1,3
陳光誠,People-Dissident,1,3
Chen_Guangcheng,People-Dissident,1,15
陳一諮,People-Dissident,1,3
程翔,People-Dissident,1,2
丁子霖,People-Dissident,1,3
杜导正,People-Dissident,1,3
冯正虎,People-Dissident,1,3
侯德健,People-Dissident,1,3
侯德建,People-Dissident,1,3
賈甲,People-Dissident,1,2
贾阔,People-Dissident,1,2
姜维平,People-Dissident,1,3
蒋彦永,People-Dissident,1,3
李旺陽,People-Dissident,1,3
梁海怡,People-Dissident,1,3
廖亦武,People-Dissident,1,3
劉霞_(劉曉波妻),People-Dissident,1,9
刘晓波,People-Dissident,1,3
劉曉波,People-Dissident,1,3
Liu_Xiaobo,People-Dissident,1,10
Liu_Xianbin,People-Dissident,1,11
刘逸明,People-Dissident,1,3
盤古樂團,People-Dissident,1,4
浦志强,People-Dissident,1,3
冉云飞,People-Dissident,1,3
孙文广,People-Dissident,1,3
谭作人,People-Dissident,1,3
唐柏桥,People-Dissident,1,3
王丹,People-Dissident,1,2
王丹_(民运人士),People-Dissident,1,9
王丹_(民運人士),People-Dissident,1,9
唯色,People-Dissident,1,2
程文萨,People-Dissident,1,3
夏业良,People-Dissident,1,3
许志永,People-Dissident,1,3
阎明复,People-Dissident,1,3
杨银波,People-Dissident,1,3
姚监复,People-Dissident,1,3
张伯笠,People-Dissident,1,3
張世軍,People-Dissident,1,3
赵连海,People-Dissident,1,3
赵紫阳,People-Dissident,1,3
趙紫陽,People-Dissident,1,3
赵修业,People-Dissident,1,3
宗鳳鳴,People-Dissident,1,3
鲍彤,People-Dissident,1,2
鮑彤,People-Dissident,1,2
曹长青,People-Dissident,1,3
曹長青,People-Dissident,1,3
柴玲,People-Dissident,1,2
陈奎德,People-Dissident,1,3
陳奎德,People-Dissident,1,3
陈子明,People-Dissident,1,3
陳子明,People-Dissident,1,3
方励之,People-Dissident,1,3
方勵之,People-Dissident,1,3
方圆,People-Dissident,1,2
方圓,People-Dissident,1,2
封从德,People-Dissident,1,3
封從德,People-Dissident,1,3
高瑜,People-Dissident,1,2
高智晟,People-Dissident,1,3
韩东方,People-Dissident,1,3
韓東方,People-Dissident,1,3
胡佳_(1973年),People-Dissident,1,10
胡平_(作家),People-Dissident,1,7
黄琦,People-Dissident,1,2
黃琦,People-Dissident,1,2
蒋品超,People-Dissident,1,3
蔣品超,People-Dissident,1,3
焦国标,People-Dissident,1,3
焦國標,People-Dissident,1,3
黎安友,People-Dissident,1,3
李洪宽,People-Dissident,1,3
李洪寬,People-Dissident,1,3
李禄,People-Dissident,1,2
李祿,People-Dissident,1,2
李慎之,People-Dissident,1,3
刘宾雁,People-Dissident,1,3
劉賓雁,People-Dissident,1,3
刘刚,People-Dissident,1,2
劉剛,People-Dissident,1,2
齐志勇,People-Dissident,1,3
齊志勇,People-Dissident,1,3
师涛,People-Dissident,1,2
師濤,People-Dissident,1,2
王炳章,People-Dissident,1,3
王军涛,People-Dissident,1,3
王軍濤,People-Dissident,1,3
王力雄,People-Dissident,1,3
王若望,People-Dissident,1,3
王文怡,People-Dissident,1,3
王有才,People-Dissident,1,3
魏京生,People-Dissident,1,3
文炎,People-Dissident,1,2
吴弘达,People-Dissident,1,3
吳弘達,People-Dissident,1,3
吾尔开希,People-Dissident,1,4
吾爾開希,People-Dissident,1,4
辛灏年,People-Dissident,1,3
辛灝年,People-Dissident,1,3
熊焱,People-Dissident,1,2
许家屯,People-Dissident,1,3
許家屯,People-Dissident,1,3
严家其,People-Dissident,1,3
嚴家其,People-Dissident,1,3
杨建利,People-Dissident,1,3
