keyword,list_google,google_length
08.*宪章|宪章.*08,1,13
08县长,1,4
18大,1,3
1989.*天安門|天安門.*1989,1,19
3\.19,1,5
5月35号,1,5
5月35日,1,5
64.*真相|真相.*64,1,13
64.*镇压|镇压.*64,1,13
64.*学生运动|学生运动.*64,1,17
64memo,1,6
89.*学生动乱|学生动乱.*89,1,17
89.*学生运动|学生运动.*89,1,17
8964,1,4
89动乱,1,4
8宪章,1,3
^\s*dongtaiwang\s*$,1,19
^\s*download freegate\s*$,1,25
^\s*dynaweb\s*$,1,15
^\s*freegate download\s*$,1,25
^\s*freegate\s*$,1,16
^\s*nuctech\s*$,1,15
^\s*海峰\s*$,1,10
^\s*动网通\s*$,1,11
^\s*自由門\s*$,1,11
^\s*自由门\s*$,1,11
^\s*逍遥游\s*$,1,11
^\s*威视公司\s*$,1,12
^\s*無界浏览\s*$,1,12
^\s*無界瀏覽\s*$,1,12
^\s*自由之门\s*$,1,12
^\s*自由門下載\s*$,1,13
^\s*自由门下载\s*$,1,13
^bignews,1,8
^boxun,1,6
^cache,1,6
^creaders,1,9
^dajiyuan,1,9
^freechina,1,10
^freedom,1,8
^freenet,1,8
^hrichina,1,9
^tianwang,1,9
^triangle,1,9
^xinsheng,1,9
^ytht,1,5
blood is on the square,1,22
boobs,1,5
chinese people eating babies,1,28
east.*turkistan|turkistan.*east,1,31
epochtimes,1,10
facebook,1,8
falun,1,5
freetibet,1,9
gfw.*什么|什么.*gfw,1,15
great.*firewall|firewall.*great,1,31
heguoqiang,1,10
heywood,1,7
hotspot.*shield|shield.*hotspot,1,31
hujin,1,5
jasmine.*revolution|revolution.*jasmine,1,39
jiangzemin,1,10
jiaqinglin,1,10
jzm,1,3
lichangchun,1,11
likeqiang,1,9
liu.*xiaobo|xiaobo.*liu,1,23
minghui,1,7
moli,1,4
ndtv,1,4
neil.*wood|wood.*neil,1,21
nine commentaries,1,17
ntdtv,1,5
peacehall,1,9
prisoner of the state,1,21
renminbao,1,9
safeweb,1,7
tankman,1,7
tiananmen,1,9
tits,1,4
twitter,1,7
ultrasurf,1,9
vpn.*下载|下载.*vpn,1,15
vpn.*世纪|世纪.*vpn,1,15
vpn.*免费|免费.*vpn,1,15
wenjiabao,1,9
wubangguo,1,9
xijinping,1,9
xjp,1,3
zhengjian,1,9
zhouyongkang,1,12
习,1,1
刘,1,1
吴,1,1
周,1,1
彭,1,1
李,1,1
毛,1,1
江,1,1
温,1,1
潭,1,1
王,1,1
胡,1,1
贺,1,1
贾,1,1
轭,1,1
馿,1,1
六 四,1,3
六\.四,1,4
玩photoshop,1,10
玩ps,1,3
??,1,2
三退,1,2
不厚,1,2
中共,1,2
中功,1,2
中宣,1,2
九评,1,2
代理,1,2
伍凡,1,2
余杰,1,2
先皇,1,2
党魁,1,2
八九,1,2
公诉,1,2
六四,1,2
共产,1,2
共匪,1,2
内斗,1,2
冯珏,1,2
博讯,1,2
发课,1,2
右派,1,2
叶兵,1,2
唯色,1,2
团派,1,2
埃及,1,2
增城,1,2
多维,1,2
天府,1,2
天怒,1,2
天灭,1,2
天葬,1,2
太子,1,2
学潮,1,2
学联,1,2
学运,1,2
宣言,1,2
家宝,1,2
小屋,1,2
广场,1,2
庆红,1,2
开枪,1,2
张斌,1,2
影帝,1,2
戒严,1,2
戴坚,1,2
推特,1,2
政变,1,2
无界,1,2
日记,1,2
明慧,1,2
暴动,1,2
月月,1,2
杨希,1,2
杨杰,1,2
枪声,1,2
柴玲,1,2
正念,1,2
民联,1,2
民运,1,2
民阵,1,2
汪洋,1,2
河殇,1,2
泄题,1,2
法会,1,2
法轮,1,2
泽民,1,2
洗脑,1,2
洪吟,1,2
炳章,1,2
