keyword,list_qq
bitch,1
shit,1
falun,1
sex,1
tianwang,1
cdjp,1
av,1
bignews,1
boxun,1
chinaliberal,1
chinamz,1
chinesenewsnet,1
cnd,1
creaders,1
dafa,1
dajiyuan,1
dfdz,1
dpp,1
falu,1
falun,1
falundafa,1
flg,1
freechina,1
freedom,1
freenet,1
fuck,1
GCD,1
gcd,1
hongzhi,1
hrichina,1
huanet,1
hypermart,1
incest,1
jiangdongriji,1
lihongzhi,1
making,1
minghui,1
minghuinews,1
nacb,1
naive,1
nmis,1
paper,1
peacehall,1
playboy,1
renminbao,1
renmingbao,1
rfa,1
safeweb,1
sex,1
simple,1
svdc,1
taip,1
tibetalk,1
triangle,1
triangleboy,1
UltraSurf,1
unixbox,1
ustibet,1
voa,1
voachinese,1
wangce,1
wstaiji,1
xinsheng,1
yuming,1
zhengjian,1
zhengjianwang,1
zhenshanren,1
zhuanfalun,1
bitch,1
fuck,1
shit,1
三个代表,1
一党,1
多党,1
民主,1
专政,1
行房,1
自慰,1
吹萧,1
色狼,1
胸罩,1
内裤,1
底裤,1
私处,1
爽死,1
变态,1
妹疼,1
妹痛,1
弟疼,1
弟痛,1
姐疼,1
姐痛,1
哥疼,1
哥痛,1
同房,1
打炮,1
造爱,1
性交,1
性爱,1
作爱,1
做爱,1
操你,1
日你,1
日批,1
日逼,1
鸡巴,1
我操,1
操死,1
乳房,1
阴茎,1
阳具,1
开苞,1
肛门,1
阴道,1
阴蒂,1
肉棍,1
肉棒,1
肉洞,1
荡妇,1
阴囊,1
睾丸,1
捅你,1
捅我,1
插我,1
插你,1
插她,1
插他,1
干你,1
干她,1
干他,1
妓女,1
射精,1
口交,1
手淫,1
口淫,1
屁眼,1
阴户,1
阴门,1
下体,1
龟头,1
阴毛,1
避孕套,1
你妈逼,1
大鸡巴,1
性高潮,1
性虐待,1
性高潮,1
大法,1
弟子,1
大纪元,1
真善忍,1
明慧,1
大法,1
洪志,1
红志,1
洪智,1
红智,1
法轮,1
法论,1
法沦,1
法伦,1
发轮,1
发论,1
发沦,1
发伦,1
轮功,1
轮公,1
轮攻,1
沦功,1
沦公,1
沦攻,1
论攻,1
论功,1
论公,1
伦攻,1
伦功,1
伦公,1
打倒,1
民运,1
六四,1
台独,1
王丹,1
柴玲,1
李鹏,1
天安门,1
江泽民,1
朱容基,1
朱镕基,1
李长春,1
李瑞环,1
胡锦涛,1
魏京生,1
台湾独立,1
藏独,1
西藏独立,1
疆独,1
新疆独立,1
警察,1
民警,1
公安,1
邓小平,1
嫖,1
大盖帽,1
革命,1
武警,1
黑社会,1
交警,1
消防队,1
刑警,1
夜总会,1
妈个,1
公款,1
首长,1
书记,1
坐台,1
腐败,1
城管,1
暴动,1
暴乱,1
李远哲,1
司法警官,1
高干,1
